Rank_in_2022,Name,Revenue(in millions),Revenue(% change),Profits(in millions),Profits(% change), Assets,Market_Value,Change in Rank of top 1000 companies,Employees,Change in Rank (500 only)
1,Walmart,572754,2.40%,13673,1.20%,244860,409795,,2300000,
2,Amazon,469822,21.70%,33364,56.40%,420549,1658807,,1608000,
3,Apple,365817,33.30%,94680,64.90%,351002,2849538,,154000,
4,CVS Health,292111,8.70%,7910,10.20%,232999,132839,,258000,
5,UnitedHealth Group,287597,11.80%,17285,12.20%,212206,479830,,350000,
6,Exxon Mobil,285640,57.40%,23040,,338923,349652,4,63000,4
7,Berkshire Hathaway,276094,12.50%,89795,111.20%,958784,779542,-1,372000,-1
8,Alphabet,257637,41.20%,76033,88.80%,359268,1842326,1,156500,1
9,McKesson,238228,3.10%,-4539,-604.30%,65015,45858,-2,67500,-2
10,AmerisourceBergen,213989,12.70%,1540,,57338,32356,-2,40000,-2
11,Costco Wholesale,195929,17.50%,5007,25.10%,59268,255231,1,288000,1
12,Cigna,174078,8.50%,5365,-36.60%,154889,76286,1,72963,1
13,AT&T,168864,-1.70%,20081,,551622,169262,-2,202600,-2
14,Microsoft,168088,17.50%,61271,38.40%,333779,2311359,1,181000,1
15,Cardinal Health,162467,6.20%,611,,44453,15709,-1,46827,-1
16,Chevron,162465,71.60%,15625,,239535,317120,11,42595,11
17,Home Depot,151157,14.40%,16433,27.70%,71876,309313,1,490600,1
18,Walgreens Boots Alliance,148579,6.50%,2542,457.50%,81285,38671,-2,258500,-2
19,Marathon Petroleum,141032,58.50%,9738,,85373,47758,13,17700,13
20,Anthem,138639,13.80%,6104,33.50%,97460,118534,3,98200,3
21,Kroger,137888,4.10%,1655,-36.00%,49086,41496,-4,420000,-4
22,Ford Motor,136341,7.20%,17937,,257035,67958,-1,183000,-1
23,Verizon Communications,133613,4.10%,22065,24.00%,366596,213837,-3,118400,-3
24,JPMorgan Chase,127202,-1.80%,48334,65.90%,3743567,402527,-5,271025,-5
25,General Motors,127004,3.70%,10019,55.90%,244718,63555,-3,157000,-3
26,Centene,125982,13.40%,1347,-25.50%,78375,49072,-2,72500,-2
27,Meta Platforms,117929,37.20%,39370,35.10%,165987,605251,7,71970,7
28,Comcast,116385,12.40%,14159,34.40%,275905,212246,-2,189000,-2
29,Phillips 66,114852,75.40%,1317,,55594,41561,19,14000,19
30,Valero Energy,108332,80.20%,930,,57888,41572,23,9804,23
31,Dell Technologies,106995,13.60%,5563,71.20%,92735,38164,-3,133000,-3
32,Target,106005,13.30%,6946,59.00%,53811,98134,-2,450000,-2
33,Fannie Mae,101543,-4.60%,22176,87.90%,4229166,909,-8,7400,-8
34,UPS,97287,15.00%,12890,859.80%,69405,186817,1,400945,1
35,Lowe's,96250,7.40%,8442,44.70%,44640,133761,-4,270000,-4
36,Bank of America,93851,0.10%,31978,78.70%,3169495,332433,-7,208248,-7
37,Johnson & Johnson,93775,13.60%,20878,41.90%,182018,466047,-1,141700,-1
38,Archer Daniels Midland,85249,32.50%,2709,52.90%,56136,50769,13,39979,13
39,FedEx,83959,21.30%,5231,306.80%,82777,59971,6,484000,6
40,Humana,83064,7.70%,2933,-12.90%,44358,55155,1,95500,1
41,Wells Fargo,82407,2.60%,21548,552.80%,1948068,184225,-4,247848,-4
42,State Farm Insurance,82225,4.20%,1281,-65.70%,325349,,-3,53586,-3
43,Pfizer,81288,94.00%,21979,128.60%,181476,"292,385.30",34,79000,34
44,Citigroup,79865,-10.10%,21952,98.70%,2291413,"105,330.10",-11,221768,-11
45,PepsiCo,79474,12.90%,7618,7.00%,92377,"231,528.20",-1,309000,-1
46,Intel,79024,1.50%,19868,-4.90%,168406,"202,635.80",-6,121100,-6
47,Procter & Gamble,76118,7.30%,14306,9.80%,119307,"366,271.60",-4,101000,-4
48,General Electric,74196,-6.80%,-6520,-214.30%,198874,"100,810.20",-10,168000,-10
49,IBM,72344,-1.70%,5743,2.70%,132001,"116,928.30",-7,297800,-7
50,MetLife,71080,4.80%,6554,21.20%,759708,"57,986.50",-4,43000,-4
51,Prudential Financial,70934,24.40%,7724,,937582,"44,482.20",4,40916,4
52,Albertsons,69690,11.60%,850,82.30%,26598,"16,063.70",,300000,
53,Walt Disney,67418,3.10%,1995,,203609,"249,718.10",-3,171000,-3
54,Energy Transfer,67417,73.10%,5470,,105963,"34,496.90",27,12558,27
55,Lockheed Martin,67044,2.50%,6315,-7.60%,50873,"117,648.20",-6,114000,-6
56,Freddie Mac,65898,-0.50%,12109,65.30%,3025586,510.3,-9,7301,-9
57,Goldman Sachs Group,64989,21.50%,21635,128.70%,1463988,"117,667.60",2,43900,2
58,Raytheon Technologies,64388,13.80%,3864,,161404,"147,640.90",-1,174000,-1
59,HP,63487,12.10%,6503,128.70%,38610,"38,237.20",-3,51000,-3
60,Boeing,62286,7.10%,-4202,,138552,"113,058.70",-6,142000,-6
61,Morgan Stanley,61121,17.40%,15034,36.70%,1188140,"155,685.60",,74814,
62,HCA Healthcare,58752,14.00%,6956,85.30%,50742,"75,691.90",,244000,
63,AbbVie,56197,22.70%,11542,150.00%,146529,"286,332.40",5,50000,5
64,Dow,54968,42.60%,6311,415.20%,62990,"46,839.70",18,35700,18
65,Tesla,53823,70.70%,5519,665.50%,62131,"1,113,707.80",35,99290,35
66,Allstate,53228,18.80%,1599,-71.30%,99440,"38,553.70",4,54500,4
67,AIG,52057,19.00%,9388,,596112,"50,608.20",5,36600,5
68,Best Buy,51761,9.50%,2454,36.50%,17504,"20,473.20",-2,81375,-2
69,Charter Communications,51682,7.50%,4654,44.40%,142491,"112,803.40",-5,93700,-5
70,Sysco,51298,-3.00%,524,143.30%,21414,"41,433.10",-10,57710,-10
71,Merck,51216,6.70%,13049,84.60%,105694,"207,400.50",-6,67500,-6
72,New York Life Insurance,51199,9.60%,277,,379985,,-5,14344,-5
73,Caterpillar,50971,22.10%,6489,116.40%,82793,"119,406.60",5,107700,5
74,Cisco Systems,49818,1.00%,10591,-5.60%,97497,"231,636.40",-11,79500,-11
75,TJX,48550,51.10%,3283,3528.60%,28462,"71,195.30",22,340000,22
76,Publix Super Markets,48394,7.10%,4412,11.10%,31524,,-7,232000,-7
77,ConocoPhillips,48349,151.10%,8079,,90661,"129,605.10",79,9900,79
78,Liberty Mutual Insurance Group,48200,10.10%,3068,304.70%,156043,,-7,45000,-7
79,Progressive,47702,11.80%,3351,-41.30%,71132,"66,670.30",-5,49077,-5
80,Nationwide,47376,13.00%,1617,,278412,,-4,24134,-4
81,Tyson Foods,47049,8.90%,3047,47.80%,36309,"32,487.80",-8,137000,-8
82,Bristol-Myers Squibb,46385,9.10%,6994,,109314,"155,203.50",-7,32200,-7
83,Nike,44538,19.10%,5727,125.60%,37740,"212,779.10",2,73300,2
84,Deere,44024,23.90%,5963,116.80%,84114,"127,456.60",4,75550,4
85,American Express,43663,14.30%,8060,157.10%,188548,"141,613.00",-2,64000,-2
86,Abbott Laboratories,43075,24.50%,7071,57.30%,75196,"208,725.80",3,113000,3
87,StoneX Group,42534,-21.40%,116,-31.40%,18840,"1,494.40",-29,3242,-29
88,Plains GP Holdings,42078,80.70%,60,,29978,"2,242.90",39,4100,39
89,Enterprise Products Partners,40807,50.00%,4638,22.80%,67526,"56,172.40",16,6911,16
90,TIAA,40526,-2.60%,4061,627.60%,698191,,-11,15065,-11
91,Oracle,40479,3.60%,13746,35.60%,131107,"220,736.60",-11,132000,-11
92,Thermo Fisher Scientific,39211,21.70%,7725,21.20%,95123,"231,057.40",3,129000,3
93,Coca-Cola,38655,17.10%,9771,26.10%,94354,"268,769.70",,79000,
94,General Dynamics,38469,1.40%,3257,2.80%,50073,"67,081.00",-10,103100,-10
95,CHS,38448,35.40%,554,31.10%,17576,,8,9941,8
96,USAA,37470,3.20%,3300,-15.50%,210677,,-9,37335,-9
97,Northwestern Mutual,36751,8.80%,978,130.10%,334654,,,7585,-7
98,Nucor,36484,81.20%,6828,846.30%,25823,"39,954.00",51,28800,51
99,Exelon,36347,10.00%,1706,-13.10%,133013,"46,683.90",-7,31518,-7
100,Massachusetts Mutual Life Insurance,35900,51.70%,319,,383292,,23,10052,23
101,Northrop Grumman,35667,-3.10%,7005,119.70%,42579,"69,811.90",-15,88000,-15
102,3M,35355,9.90%,5921,10.00%,47072,"84,738.30",-6,95000,-6
103,Travelers,34816,8.90%,3662,35.80%,120466,"44,129.40",-5,30492,-5
104,Arrow Electronics,34477,20.20%,1108,89.60%,19536,"7,951.30",-2,20700,-2
105,Honeywell International,34392,5.40%,5542,16.00%,64470,"133,381.00",-11,99000,-11
106,Dollar General,34220,1.40%,2399,-9.60%,26327,"50,953.00",-15,163000,-15
107,Qualcomm,33566,42.60%,9043,74.00%,41240,"172,228.10",17,45000,17
108,Capital One Financial,32033,1.20%,12390,356.50%,432381,"53,260.40",-9,50767,-9
109,TD Synnex,31614,28.10%,395,-25.30%,27666,"9,853.60",8,27000,8
110,Philip Morris International,31405,9.40%,9109,13.10%,41290,"145,614.70",-9,69600,-9
111,World Fuel Services,31337,53.90%,74,-32.80%,5942,"1,715.50",36,4414,36
112,Performance Food Group,30399,21.20%,41,,7846,"7,880.90",2,22885,2
113,Delta Air Lines,29899,74.90%,280,,72459,"25,322.00",65,83000,65
114,American Airlines Group,29882,72.40%,-1993,,66467,"11,847.20",60,123400,60
115,Netflix,29698,18.80%,5116,85.30%,44585,"166,304.10",,11300,
116,Paramount Global,29579,13.00%,4543,87.60%,58620,"24,628.80",-7,25115,-7
117,US Foods Holding,29487,28.80%,164,,12521,"8,392.30",11,28000,11
118,Danaher,29453,32.20%,6433,76.40%,83184,"209,993.40",12,79000,12
119,Jabil,29285,7.40%,696,1191.00%,16654,"8,857.30",-15,238000,-15
120,Starbucks,29061,23.60%,4199,352.40%,31393,"104,642.80",5,383000,5
121,Mondelez International,28720,8.00%,4300,21.00%,67092,"87,159.20",-13,79000,-13
122,Eli Lilly,28318,15.40%,5582,-9.90%,48806,"272,723.60",-4,35238,-4
123,Hewlett Packard Enterprise,27784,3.00%,3427,,57699,"21,725.30",-17,60400,-17
124,D.R. Horton,27774,36.70%,4176,75.90%,24016,"26,403.20",24,11788,24
125,Molina Healthcare,27771,43.00%,659,-2.10%,12209,"19,572.90",30,14000,30
126,CBRE Group,27746,16.50%,1837,144.20%,22074,"30,414.20",-4,105000,-4
127,Micron Technology,27705,29.30%,5861,118.10%,58849,"86,977.20",8,43000,8
128,Broadcom,27450,14.90%,6736,127.60%,75570,"257,086.50",-7,20000,-7
129,Gilead Sciences,27305,10.60%,6225,4961.00%,67952,"74,656.50",-13,14400,-13
130,PBF Energy,27253,80.30%,231,,11641,"2,932.60",73,3418,73
131,Lennar,27131,20.60%,4430,79.70%,33208,"23,413.00",-2,10753,-2
132,United Natural Foods,26992,0.90%,149,,7525,"2,409.30",-25,28300,-25
133,NRG Energy,26989,196.80%,2187,328.80%,23182,"9,289.00",200,6635,200
134,Nvidia,26914,61.40%,9752,125.10%,44187,"684,878.60",50,22473,50
135,Occidental Petroleum,26772,60.50%,2322,,75036,"53,160.20",48,11678,48
136,Salesforce,26492,24.70%,1444,-64.50%,95209,"210,196.80",1,73541,1
137,Dollar Tree,26321,3.20%,1328,-1.00%,21722,"36,051.40",-26,136226,-26
138,KKR,26141,171.50%,4667,133.00%,264285,"51,542.90",178,3238,178
139,Kraft Heinz,26042,-0.50%,1012,184.30%,93394,"48,248.60",-29,36000,-29
140,Amgen,25979,2.20%,5893,-18.90%,61165,"134,700.80",-28,24200,-28
141,AutoNation,25844,26.70%,1373,259.80%,8944,"6,111.40",4,22200,4
142,Penske Automotive Group,25555,25.00%,1188,118.50%,13465,"7,196.70",1,24797,1
143,PayPal Holdings,25371,18.30%,4169,-0.80%,75803,"134,732.80",-9,30900,-9
144,Macy's,25292,39.80%,1430,,17590,"7,123.20",20,88857,20
145,Duke Energy,24677,5.20%,3908,183.80%,169587,"85,967.00",-19,27605,-19
146,United Airlines Holdings,24634,60.40%,-1964,,68175,"15,049.70",54,84100,54
147,Visa,24105,10.30%,12311,13.30%,82896,"480,022.50",-14,21500,-14
148,Rite Aid,24043,9.60%,-91,,9335,488.1,-16,50000,-16
149,Cummins,24021,21.30%,2131,19.10%,23710,"29,140.90",1,59900,1
150,U.S. Bancorp,23714,-6.00%,7963,60.60%,573284,"78,929.80",-37,68796,-37
151,Paccar,23522,25.60%,1852,42.60%,29302,"30,619.70",8,28500,8
152,McDonald's,23223,20.90%,7545,59.50%,53854,"183,873.60",5,200000,5
153,Southern,23113,13.40%,2393,-23.30%,127534,"76,877.00",-7,27164,-7
154,C.H. Robinson Worldwide,23102,42.50%,844,66.70%,7028,"13,855.80",37,16877,37
155,Truist Financial,23064,-5.60%,6440,43.70%,541241,"75,353.90",-36,51462,-36
156,Applied Materials,23063,34.10%,5888,62.70%,25825,"116,431.40",20,27000,20
157,Freeport-McMoRan,22845,60.90%,4306,618.90%,48022,"72,360.80",58,24700,58
158,Lithia Motors,22832,74.00%,1060,125.40%,11147,"8,909.80",73,21150,73
159,Blackstone,22577,270.00%,5857,460.30%,41196,"88,907.20",295,3795,295
160,Hartford Financial Services Group,22390,9.10%,2365,36.20%,76578,"23,815.60",-18,18100,-18
161,Aflac,22106,-0.20%,4325,-9.50%,157542,"41,812.80",-30,12447,-30
162,Whirlpool,21985,13.00%,1783,64.90%,20285,"10,101.20",-8,69000,-8
163,Union Pacific,21804,11.60%,6523,21.90%,63525,"171,681.60",-10,32124,-10
164,International Paper,21780,5.80%,1752,263.50%,25243,"17,301.10",-23,38200,-23
165,Altria Group,21111,1.30%,2475,-44.60%,39523,"94,951.70",-27,6000,-27
166,CDW,20821,12.70%,989,25.40%,13199,"24,140.20",-5,13900,-5
167,ManpowerGroup,20724,15.10%,382,1506.70%,9829,"5,025.60",-2,30000,-2
168,PG&E,20642,11.80%,-102,,103327,"29,433.70",-8,26000,-8
169,Carrier Global,20613,18.10%,1664,-16.00%,26172,"39,127.40",2,58000,2
170,Baker Hughes,20502,-1.00%,-219,,35308,"37,410.20",-30,54000,-30
171,Cleveland-Cliffs,20444,281.80%,2988,,18975,"16,891.20",330,26000,-
172,United States Steel,20275,108.10%,4174,,17816,"9,832.30",138,24540,138
173,Becton Dickinson,20248,18.30%,2092,139.40%,53866,"75,749.10",4,75000,4
174,CarMax,20092,-6.20%,747,-15.90%,21542,"15,598.90",-38,26889,-38
175,Sherwin-Williams,19945,8.60%,1864,-8.20%,20667,"65,037.90",-13,61626,-13
176,Builders FirstSource,19894,132.40%,1725,450.30%,10714,"11,408.90",174,28000,174
177,Marsh & McLennan,19820,15.10%,3143,55.90%,34388,"85,681.30",-2,83000,-2
178,PNC Financial Services Group,19698,-18.10%,5674,-24.50%,557191,"77,203.40",-58,58547,-58
179,Lumen Technologies,19687,-4.90%,2033,,57993,"11,533.40",-40,36000,-40
180,Avnet,19535,10.80%,193,,8925,"4,016.90",-12,14500,-12
181,Tenet Healthcare,19485,10.50%,914,129.10%,27579,"9,387.60",-14,88968,-14
182,Kimberly-Clark,19440,1.60%,1814,-22.90%,17837,"41,496.10",-24,45000,-24
183,Kohl's,19433,21.80%,938,,15054,"7,774.60",12,67000,12
184,BlackRock,19374,19.60%,5901,19.60%,152648,"116,186.20",8,18400,8
185,Jones Lang LaSalle,19367,16.70%,962,138.90%,15505,"11,945.50",1,98200,1
186,Lear,19263,13.00%,374,135.90%,13352,"8,513.10",-7,160100,-7
187,Lincoln National,19230,10.30%,1405,181.60%,387301,"11,271.60",-15,10848,-15
188,Charles Schwab,18996,56.90%,5855,77.50%,667270,"159,675.90",63,33400,63
189,Ross Stores,18916,50.90%,1723,1917.50%,13640,"31,741.70",53,100000,53
190,Mastercard,18884,23.40%,8687,35.50%,37669,"349,330.50",11,24000,11
191,Genuine Parts,18871,8.50%,899,,14352,"17,888.10",-18,52000,-18
192,WestRock,18746,6.60%,838,,29254,"12,379.00",-22,49900,-22
193,EOG Resources,18642,69.00%,4664,,38236,"69,796.00",92,2800,92
194,Cognizant Technology Solutions,18507,11.10%,2137,53.50%,17852,"47,035.00",-9,330600,-9
195,Moderna,18471,2199.10%,12202,,24669,"69,424.30",,2700,
196,Steel Dynamics,18409,91.70%,3214,483.50%,12531,"15,811.50",123,10640,123
197,HF Sinclair,18389,64.40%,558,,12917,"8,895.80",82,4208,82
198,Texas Instruments,18344,26.90%,7769,38.90%,24676,"169,329.60",12,31000,12
199,Emerson Electric,18236,8.60%,2303,17.20%,24715,"58,241.70",-18,86700,-18
200,WESCO International,18218,47.80%,465,362.80%,12618,"6,598.50",45,18000,45
201,General Mills,18127,2.80%,2340,7.30%,31842,"40,781.80",-32,35000,-32
202,Tenneco,18035,17.30%,35,,11622,"1,523.00",-3,71000,-3
203,Waste Management,17931,17.80%,1816,21.40%,29097,"65,802.80",-1,48500,-1
204,Viatris,17886,49.70%,-1269,,54843,"13,160.20",50,37000,50
205,DISH Network,17881,15.40%,2411,36.80%,48002,"16,743.10",-8,14500,-8
206,L3Harris Technologies,17814,-2.10%,1846,65.00%,34709,"47,969.60",-43,47000,-43
207,DXC Technology,17729,-9.40%,-149,,22038,"7,977.30",-55,134000,-55
208,Block,17661,86.00%,166,-22.00%,13926,"78,655.90",115,8521,115
209,Goodyear Tire & Rubber,17478,41.90%,764,,21402,"4,029.30",37,72000,37
210,Uber Technologies,17455,56.70%,-496,,38774,"69,753.00",71,29300,71
211,Colgate-Palmolive,17421,5.80%,2166,-19.60%,15040,"63,742.20",-23,33800,-23
212,Stanley Black & Decker,17253,18.70%,1689,36.90%,28180,"22,843.30",-3,71300,-3
213,DuPont,17160,-15.90%,6467,,45707,"37,739.70",-69,28000,-69
214,Stryker,17108,19.20%,1994,24.70%,34631,"100,978.10",-2,46000,-2
215,NextEra Energy,17069,-5.20%,3573,22.40%,140912,"166,264.10",-49,15000,-49
216,Targa Resources,16950,105.20%,71,,15208,"17,243.80",148,2430,148
217,Western Digital,16922,1.10%,821,,26132,"15,536.40",-35,65600,-35
218,PPG Industries,16802,21.50%,1439,35.90%,21351,"30,951.90",2,49300,2
219,American Electric Power,16792,12.60%,2488,13.10%,87669,"50,338.60",-15,16688,-15
220,Gap,16670,20.80%,256,,12761,"5,206.60",1,97000,1
221,BJ's Wholesale Club,16667,8.00%,427,1.30%,5669,"9,146.90",-23,34000,-23
222,Reinsurance Group of America,16658,14.10%,617,48.70%,92175,"7,354.60",-15,3500,-15
223,Kinder Morgan,16610,42.00%,1784,1399.20%,70416,"42,878.10",39,10529,39
224,Oneok,16540,93.60%,1500,144.70%,23622,"31,516.00",127,2847,127
225,Expeditors Intl. of Washington,16524,72.40%,1416,103.30%,7610,"17,268.80",74,19070,74
226,Advanced Micro Devices,16434,68.30%,3162,27.00%,12419,"177,936.10",83,15500,83
227,Fiserv,16226,9.30%,1334,39.20%,76249,"66,132.80",-22,44000,-22
228,Estée Lauder,16215,13.40%,2870,319.60%,21971,"97,672.10",-15,53320,-15
229,Bank of New York Mellon,16158,-4.60%,3759,3.90%,444438,"40,056.70",-49,49100,-49
230,Laboratory Corp. of America,16121,15.30%,2377,52.80%,20385,"24,625.80",-12,71725,-12
231,Regeneron Pharmaceuticals,16072,89.10%,8075,129.90%,25435,"75,806.00",123,10368,123
232,Land O'Lakes,15916,14.10%,287,8.50%,9560, - ,-13,9000,-13
233,Cheniere Energy,15864,69.50%,-2343,,39258,"35,272.30",95,1550,95
234,Southwest Airlines,15790,74.50%,977,,36320,"27,129.30",102,55093,102
235,Adobe,15785,22.70%,4822,-8.30%,27241,"215,280.50",-1,25988,-1
236,Synchrony Financial,15752,-4.40%,4221,204.80%,95748,"18,145.50",-49,18000,-49
237,Corteva,15655,10.10%,1759,158.30%,42344,"41,774.90",-23,21000,-23
238,Fidelity National Financial,15643,45.10%,2422,69.70%,60690,"13,849.60",50,28290,50
239,DTE Energy,15369,26.20%,907,-33.70%,39719,"25,614.60",11,10300,11
240,Murphy USA,15319,61.20%,397,2.80%,4048,"4,888.60",82,10430,82
241,Halliburton,15295,5.90%,1457,,22321,"34,028.90",-30,40000,-30
