Rank_in_2022,Name,Revenue(in millions),Revenue(% change),Profits(in millions),Profits(% change), Assets,Market_Value,Change in Rank of top 1000 companies,Employees,Change in Rank (500 only)
737,Winnebago Industries,3630,54.10%,282,358.80%,2063,"1,770.90",140,6532,
738,Ciena,3621,2.50%,500,38.40%,4865,"9,223.40",-72,7205,
739,PriceSmart,3620,8.70%,98,25.40%,1706,"2,434.10",-45,10400,
740,Advantage Solutions,3602,14.20%,55,,5854,"2,029.60",-22,45000,
741,H&R Block,3589,35.90%,684,,4014,"4,284.60",70,38000,
742,iHeartMedia,3558,20.70%,-159,,8881,"2,728.10",11,9990,
743,Super Micro Computer,3557,6.50%,112,32.70%,2242,"1,963.00",-50,4155,
744,Flowserve,3541,-5.00%,126,-3.40%,4750,"4,681.40",-101,16000,
745,Charles River Laboratories International,3540,21.10%,391,7.30%,7024,"14,425.40",15,19300,
746,A.O. Smith,3539,22.20%,487,41.20%,3474,"10,032.20",21,13700,
747,New Residential Investment,3533,512.80%,772,,39742,"5,125.00",,12296,
748,Medical Mutual of Ohio,3515,-0.30%,78,-22.00%,2646,,-81,2834,
749,Granite Construction,3502,-1.70%,10,,2495,"1,504.70",-86,2600,
750,Valmont Industries,3502,20.90%,196,39.00%,3447,"5,083.40",16,11041,
751,Sprague Resources,3498,49.80%,-69,-303.80%,1418,433.7,135,757,
752,Primoris Services,3498,0.20%,116,10.10%,2543,"1,269.80",-79,10810,
753,Cboe Global Markets,3495,2.00%,529,13.00%,6815,"12,148.20",-74,1196,
754,Carter's,3486,15.30%,340,209.70%,3202,"3,763.40",-9,15900,
755,TopBuild,3486,28.30%,324,31.20%,4259,"5,987.10",40,13006,
756,SiteOne Landscape Supply,3476,28.50%,238,96.50%,2116,"7,255.50",46,5475,
757,Texas Roadhouse,3464,44.40%,245,684.80%,2512,"5,787.80",103,73300,
758,Akamai Technologies,3461,8.20%,652,17.00%,8139,"19,210.00",-47,8700,
759,Acuity Brands,3461,4.00%,306,23.40%,3575,"6,628.90",-63,13000,
759,Brown-Forman,3461,2.90%,903,9.20%,6522,"31,376.60",-70,4700,
761,Navient,3454,-7.30%,717,74.00%,80605,"2,592.30",-117,5263,
762,Coterra Energy,3449,135.20%,1158,477.50%,19900,"21,872.10",,936,
763,Option Care Health,3439,13.40%,140,,2791,"5,139.00",-19,6334,
764,Floor & Decor Holdings,3434,41.50%,283,45.30%,3731,"8,573.80",92,9276,
765,Public Storage,3416,17.20%,1953,43.90%,17381,"68,438.20",-3,5800,
766,Cabot,3409,30.40%,250,,3306,"3,871.10",47,4500,
767,Crane Holdings,3408,16.00%,435,140.60%,4487,"6,158.90",-10,11000,
768,Atmos Energy,3408,20.80%,666,10.70%,19609,"16,182.80",10,4684,
769,Selective Insurance Group,3379,15.60%,404,63.90%,10461,"5,391.50",-8,2440,
770,Take-Two Interactive Software,3373,9.20%,589,45.60%,6028,"17,744.10",-40,6495,
771,Boyd Gaming,3370,54.70%,464,,6224,"7,234.00",145,15114,
772,Plexus,3369,-0.60%,139,18.20%,2462,"2,298.60",-87,19200,
773,ScanSource,3364,-6.80%,11,,1672,890.8,-118,2200,
774,Franchise Group,3363,56.20%,364,1351.40%,3913,"1,669.60",150,11895,
775,NLV Financial,3351,30.20%,392,102.50%,41942,,48,1157,
776,CrossAmerica Partners,3351,87.10%,22,-79.80%,1270,826.5,,2218,
777,Mr. Cooper Group,3344,22.40%,1454,376.70%,14204,"3,369.40",15,8200,
778,Fortinet,3342,28.80%,607,24.20%,5919,"54,957.10",38,10195,
779,Brinker International,3338,8.40%,132,439.30%,2275,"1,701.90",-43,59491,
780,Albemarle,3328,6.40%,124,-67.10%,10974,"25,899.40",-57,6000,
781,Peabody Energy,3318,15.20%,360,,4950,"3,391.50",-9,4900,
782,Light & Wonder,3310,21.50%,371,,7883,"5,679.70",12,5600,
783,Evercore,3307,44.70%,740,111.10%,3803,"4,275.10",116,1940,
784,Stewart Information Services,3306,44.50%,323,108.70%,2813,"1,635.10",114,7300,
785,Central Garden & Pet,3304,22.60%,152,25.70%,3117,"2,286.50",19,6750,
786,GMS,3299,1.80%,106,351.50%,2484,"2,142.10",-83,5843,
787,H.B. Fuller,3278,17.50%,161,30.50%,4275,"3,505.20",-1,6500,
788,Middleby,3251,29.30%,489,135.70%,6384,"8,961.10",49,10624,
789,Renewable Energy Group,3244,51.80%,214,74.10%,2559,"3,056.20",139,1196,
790,MSC Industrial Direct,3243,1.60%,217,-13.60%,2462,"4,758.30",-78,6472,
791,Vishay Intertechnology,3241,29.50%,298,142.40%,3543,"2,840.10",49,22800,
792,Applied Industrial Technologies,3236,-0.30%,145,502.10%,2272,"3,947.90",-91,5947,
793,Lincoln Electric Holdings,3234,21.80%,277,34.10%,2592,"8,079.10",16,11000,
794,First Horizon,3234,-4.60%,999,18.20%,89092,"12,542.90",-108,7676,
795,Spirit Airlines,3231,78.50%,-473,,8540,"2,375.40",,9823,
796,AptarGroup,3227,10.20%,244,14.00%,4141,"7,702.90",-37,13000,
797,Citrix Systems,3217,-0.60%,308,-39.00%,6976,"12,704.60",-90,9700,
798,IDEXX Laboratories,3215,18.80%,745,28.00%,2437,"46,089.30",2,10350,
799,Tetra Tech,3214,7.30%,233,33.90%,2577,"8,906.70",-51,21000,
800,Lyft,3208,35.70%,-1009,,4774,"13,384.60",75,4453,
801,Gannett,3208,-5.80%,-135,,2828,643.9,-118,16300,
802,ResMed,3197,8.10%,475,-23.70%,4728,"35,463.30",-51,7970,
803,Designer Brands,3197,43.00%,155,,2015,991.4,104,13500,
804,Graham Holdings,3186,10.30%,352,17.20%,7426,"3,000.60",-36,15048,
805,Vroom,3184,134.50%,-371,,2367,364.7,,1807,
806,Worthington Industries,3171,3.70%,724,818.60%,3373,"2,537.80",-68,9000,
807,Calumet Specialty Products Partners,3148,38.80%,-260,,2128,"1,070.80",96,1450,
808,Xilinx,3148,-0.50%,647,-18.40%,5519,,-92,4890,
809,TransUnion,3145,15.80%,1387,304.20%,12635,"19,882.60",-13,10200,
810,Travel + Leisure,3134,45.10%,308,,6588,"4,966.20",112,16800,
811,Callaway Golf,3133,97.10%,322,,7748,"4,337.10",,24800,
812,Dycom Industries,3131,-2.10%,49,41.50%,2118,"2,821.00",-102,15024,
813,Columbia Sportswear,3126,25.00%,354,227.80%,3067,"5,840.40",28,8325,
814,II-VI,3106,30.50%,298,,6513,"7,708.20",54,22961,
815,Change Healthcare,3090,1470.40%,-112,,10113,"6,799.30",,15000,
816,Grocery Outlet Holding,3080,-1.80%,62,-41.60%,2670,"3,148.00",-94,875,
817,AMC Networks,3078,9.30%,251,4.40%,5749,"1,721.70",-38,1883,
818,Hyster-Yale Materials Handling,3076,9.40%,-173,-566.30%,1970,561.2,-36,8100,
819,ChampionX,3075,61.80%,113,,3535,"4,976.70",167,7000,
820,Comfort Systems USA,3074,7.60%,143,-4.50%,2209,"3,200.50",-44,13200,
821,EQT,3065,0.20%,-1156,,21607,"12,955.40",-82,693,
822,Brown & Brown,3051,16.80%,587,22.20%,9795,"20,395.70",-8,12023,
823,LGI Homes,3050,28.80%,430,32.60%,2352,"2,322.40",50,952,
824,Hyatt Hotels,3028,46.60%,-222,,12603,"10,498.30",122,44000,
825,Comerica,3024,-2.30%,1168,146.40%,94616,"11,854.40",-96,7442,
826,Energizer Holdings,3022,5.60%,161,,5008,"2,191.70",-51,6000,
827,Hill-Rom Holdings,3019,4.80%,249,11.40%,4999,,-54,10000,
828,Rackspace Technology,3010,11.20%,-218,,6329,"2,365.60",-29,6600,
829,Verisk Analytics,2999,7.70%,666,-6.50%,7808,"34,616.20",-41,9367,
830,Spectrum Brands Holdings,2998,-24.40%,190,93.90%,5340,"3,617.60",-209,12100,
831,Euronet Worldwide,2995,20.70%,71,,4744,"6,658.20",16,8800,
832,TEGNA,2991,1.80%,477,-1.20%,6918,"4,962.60",-76,6200,
833,Vontier,2991,10.60%,413,20.80%,4350,"4,087.80",-32,8500,
834,Cadence Design Systems,2988,11.40%,696,17.80%,4386,"45,781.70",-29,9298,
835,Incyte,2986,12.00%,949,,4933,"17,577.60",-28,2094,
836,Match Group,2983,24.80%,278,116.00%,5063,"31,007.00",28,2520,
837,Valvoline,2981,26.70%,420,32.50%,3191,"5,660.50",43,9800,
838,EnerSys,2978,-3.60%,143,4.60%,3463,"3,076.00",-107,11400,
839,Avaya Holdings,2973,3.50%,-13,,5985,"1,076.00",-65,8063,
840,UWM Holdings,2970,-39.90%,98,-97.10%,22528,"7,223.50",-311,8000,
841,Zions Bancorp.,2970,1.00%,1129,109.50%,93200,"9,958.20",-87,9685,
842,Quad/Graphics,2960,-1.60%,38,,1890,388.5,-96,15100,
843,MKS Instruments,2950,26.60%,551,57.50%,4540,"8,327.60",45,6200,
844,Arista Networks,2948,27.20%,841,32.50%,5734,"42,773.40",45,2993,
845,Interactive Brokers Group,2938,18.50%,308,57.90%,109113,"27,961.70",3,2571,
846,Range Resources,2930,48.80%,412,,6661,"7,964.00",120,527,
847,Atkore,2928,65.90%,588,286.00%,2210,"4,415.60",,3700,
848,Cheesecake Factory,2928,47.60%,72,,2798,"2,098.60",111,45800,
849,First Solar,2923,7.80%,469,17.70%,7414,"8,904.40",-51,4800,
850,Bio-Rad Laboratories,2923,14.80%,4246,11.60%,17776,"16,982.20",-21,7900,
851,Cooper Cos.,2923,20.20%,2945,1135.20%,9606,"20,587.80",2,12000,
852,Envista Holdings,2922,28.10%,341,922.50%,6574,"7,882.50",48,11200,
853,Alight,2915,6.90%,-60,,10988,"5,542.20",,16000,
854,Newmark Group,2906,52.60%,751,837.70%,5216,"3,009.90",129,6169,
855,PC Connection,2893,11.70%,70,25.40%,1083,"1,375.80",-38,2542,
856,Host Hotels & Resorts,2890,78.40%,-11,,12352,"13,875.90",,160,
857,Boston Properties,2889,4.40%,505,-42.10%,22365,"20,179.90",-67,743,
858,Western Midstream Partners,2877,3.80%,916,73.90%,11273,"10,177.40",-69,1127,
859,Magellan Midstream Partners,2870,18.20%,982,20.20%,8030,"10,422.10",-4,1715,
860,Hillenbrand,2865,13.80%,250,,4015,"3,216.20",-24,10500,
861,Donaldson,2854,10.50%,287,11.60%,2400,"6,416.40",-40,13100,
862,Moog,2852,-1.10%,157,1608.00%,3433,"2,814.60",-91,14000,
863,Hawaiian Electric Industries,2850,10.50%,246,24.40%,15823,"4,630.00",-41,3623,
864,Five Below,2848,45.20%,279,126.00%,2881,"8,825.00",105,13150,
865,Twilio,2842,61.30%,-950,,12999,"29,916.90",,7867,
866,Univision Communciations,2841,11.80%,134,,14055,,-36,-,
867,Annaly Capital Management,2836,1188.50%,2390,,76764,"10,281.00",,171,
868,Fleetcor Technologies,2834,18.60%,840,19.20%,13405,"19,398.40",-3,9700,
869,West Pharmaceutical Services,2832,31.90%,662,91.20%,3314,"30,508.20",56,10065,
870,Green Plains,2827,47.00%,-66,,2160,"1,662.50",107,859,
871,Cracker Barrel Old Country Store,2821,11.80%,255,,2392,"2,757.60",-38,70000,
872,Virtu Financial,2812,-13.20%,477,-26.50%,10320,"6,622.10",-168,973,
873,Teleflex,2810,10.70%,485,44.70%,6872,"16,642.10",-41,14000,
874,Zynga,2801,41.80%,-104,,6359,"10,463.50",89,2952,
875,Allegheny Technologies,2800,-6.10%,-38,,4285,"3,350.80",-126,6300,
876,AppLovin,2793,92.50%,35,,6164,"20,696.80",,1594,
877,Waters,2786,17.80%,693,32.80%,3095,"18,783.40",-3,7800,
878,Mutual of America Life Insurance,2785,83.60%,51,,28325,,,1146,
879,Hovnanian Enterprises,2783,18.70%,608,1093.50%,2321,371.9,6,1784,
880,Amica Mutual Insurance,2778,1.80%,117,-36.30%,6937,,-87,3510,
881,Caleres,2778,31.20%,137,,1844,727.5,54,7200,
882,FTI Consulting,2776,12.80%,235,11.50%,3101,"5,400.10",-30,6780,
883,Overstock.com,2774,8.80%,389,595.30%,1066,"1,897.80",-56,1350,
884,Visteon,2773,8.80%,41,,2234,"3,056.10",-56,10000,
885,G-III Apparel Group,2767,34.60%,201,752.00%,2743,"1,296.10",64,3250,
886,ITT,2765,11.60%,316,336.30%,3565,"6,415.40",-37,9900,
887,IDEX,2765,17.60%,449,19.00%,4917,"14,591.60",-6,7536,
888,Popular,2765,6.20%,935,84.50%,75098,"6,252.30",-73,8351,
889,Roku,2765,55.50%,242,,4082,"16,949.30",,3000,
890,Schnitzer Steel Industries,2759,61.10%,165,,1494,"1,445.20",,3167,
891,Brookdale Senior Living,2758,-22.10%,-99,-221.10%,6411,"1,308.30",-226,28545,
892,Werner Enterprises,2734,15.30%,259,53.20%,2604,"2,697.90",-21,13525,
893,Americold Realty Trust,2715,36.60%,-31,-224.10%,8216,"7,489.80",64,16275,
894,SkyWest,2714,27.60%,112,,7126,"1,457.60",36,15205,
895,Primerica,2710,22.20%,373,-3.30%,16123,"5,326.80",14,3170,
896,McAfee,2701,-7.10%,849,,3422,,-132,2262,
897,Nu Skin Enterprises,2696,4.40%,147,-23.00%,1907,"2,385.60",-77,19600,
898,Copart,2693,22.10%,937,33.80%,4562,"29,798.80",12,8600,
899,PROG Holdings,2678,7.80%,244,,1622,"1,586.90",-53,2023,
900,Splunk,2674,19.90%,-1339,,5791,"23,881.60",8,7000,
901,MRC Global,2666,4.10%,-14,,1671,995.2,-75,2600,
902,Stericycle,2647,-1.10%,-28,,5473,"5,415.50",-96,15465,
903,Maxim Integrated Products,2633,20.10%,827,26.40%,4523,,9,7100,
904,Ensign Group,2628,9.40%,195,14.20%,2851,"4,958.30",-45,25900,
905,SM Energy,2623,132.80%,36,,5234,"4,746.50",,506,
906,Kaiser Aluminum,2622,123.60%,-19,-164.20%,2422,"1,493.90",,3957,
907,Federated Mutual Insurance,2612,14.10%,320,61.50%,10537,,-10,2702,
908,F5,2603,10.70%,331,7.70%,4997,"12,691.20",-26,6429,
909,Steelcase,2596,-30.30%,26,-86.90%,2354,"1,339.50",-264,11400,
910,Encore Wire,2593,103.00%,541,611.80%,1531,"2,250.30",,1440,
911,Guess,2592,38.10%,171,,2556,"1,305.50",79,12500,
912,Playtika Holding,2583,8.90%,309,235.00%,2803,"7,965.80",-40,4000,
913,Pinterest,2578,52.30%,316,,3537,"16,196.90",,3225,
914,WeWork,2570,-24.80%,-4439,,21756,"4,937.40",,4400,
915,ManTech International,2554,1.40%,137,13.70%,2640,"3,517.60",-80,9800,
916,BrightView Holdings,2554,8.80%,46,,3238,"1,351.50",-32,20150,
917,NortonLifeLock,2552,-33.90%,554,-85.70%,6361,"15,441.90",-286,2800,
918,Deckers Outdoor,2546,19.40%,383,38.50%,2168,"7,457.80",11,3400,
919,Griffon,2542,5.60%,79,48.30%,2605,"1,127.80",-61,6700,
920,AMC Entertainment Holdings,2528,103.50%,-1269,,10822,"12,733.40",,17122,
921,Curtiss-Wright,2506,4.80%,267,32.70%,4104,"5,771.00",-58,7800,
922,MYR Group,2498,11.20%,85,44.70%,1121,"1,594.50",-16,7600,
923,Kontoor Brands,2476,-,195,,1533,"2,325.30",,14000,
924,Liberty Energy,2471,155.80%,-179,,2041,"2,757.90",,3601,
925,Knights of Columbus,2468,4.90%,130,37.20%,28838,,-47,749,
926,AdaptHealth,2465,133.40%,156,,5251,"2,146.60",,10700,
927,MillerKnoll,2465,-0.90%,173,,2062,"2,617.70",-84,7600,
928,Equity Residential,2464,-4.20%,1333,45.90%,21169,"33,802.50",-104,2400,
929,DexCom,2449,27.10%,155,-68.70%,4864,"49,824.50",47,6650,
930,Rollins,2424,12.20%,351,34.50%,1981,"17,260.70",-9,16482,
931,Genesco,2422,35.60%,115,,1562,868.7,,11700,
932,Bruker,2418,21.70%,277,75.60%,3650,"9,694.70",26,7765,
933,Joann,2418,-12.50%,57,-73.30%,2362,463.2,-142,13530,
934,Wolverine World Wide,2415,34.80%,69,,2586,"1,836.10",,4400,
935,Gray Television,2413,1.30%,90,-78.00%,11108,"2,093.20",-68,8801,
936,Affiliated Managers Group,2412,19.00%,566,179.80%,8876,"5,606.80",15,4050,
937,Summit Materials,2410,3.30%,152,10.30%,4239,"3,687.80",-50,5500,
938,SLM,2409,2.40%,1161,31.80%,29222,"5,129.70",-59,1450,
939,Belden,2408,22.10%,64,,3418,"2,492.50",25,7400,
940,Allison Transmission Holdings,2402,15.40%,442,47.80%,4457,"3,810.60",3,3400,
941,Element Solutions,2400,29.50%,203,168.60%,5138,"5,434.80",,5300,
942,Portland General Electric,2396,11.70%,244,57.40%,9494,"4,940.00",-16,2839,
943,REV Group,2381,4.50%,44,,1238,843.4,-41,6800,
944,Acadia Healthcare,2377,-25.90%,191,,4768,"5,891.30",-235,19200,
945,Alexandria Real Estate Equities,2374,2.90%,571,-25.90%,30219,"32,188.60",-55,559,
946,Nordson,2362,11.40%,454,82.10%,3791,"13,157.10",-12,6813,
947,NewMarket,2356,17.20%,191,-29.40%,2558,"3,346.70",7,2104,
948,Ohio National Mutual,2347,7.50%,-85,-177495.80%,40795,,-34,1082,
949,Stepan,2346,25.50%,138,8.70%,2066,"2,215.60",43,2439,
950,Valhi,2335,24.30%,127,130.40%,3005,828.8,39,2847,
951,Hilton Grand Vacations,2335,161.20%,176,,8008,"6,247.90",,13000,
952,Cooper-Standard Holdings,2330,-1.90%,-323,,2227,149,-82,21300,
953,Etsy,2329,35.00%,494,41.30%,3832,"15,787.70",,2402,
954,Crocs,2313,66.90%,726,132.00%,1545,"4,676.20",,5770,
955,Olympic Steel,2312,87.40%,121,,1024,427.8,,1642,
956,Signature Bank,2311,15.20%,918,73.80%,118445,"18,416.90",,1854,
957,SBA Communications,2309,10.80%,238,885.80%,9802,"37,168.70",-15,1596,
958,Murphy Oil,2300,16.70%,-74,,10305,"6,275.30",7,696,
959,Entegris,2299,23.60%,409,38.70%,3192,"17,830.90",38,6850,
960,AvalonBay Communities,2295,-0.30%,1004,21.30%,19902,"34,710.30",-64,2883,
961,Saia,2289,25.60%,253,83.10%,1845,"6,438.40",,11600,
962,E.W. Scripps,2284,19.20%,123,-54.40%,6658,"1,718.30",17,5600,
963,TTEC Holdings,2273,16.60%,141,18.80%,1997,"3,878.00",11,65000,
964,Sun Communities,2273,62.50%,380,188.80%,13494,"20,372.80",,5455,
965,Alpha Metallurgical Resources,2259,36.70%,289,,1858,"2,447.50",,3500,
966,GEO Group,2257,-4.00%,77,-31.50%,4537,809.8,-83,15800,
967,Viasat,2256,-2.30%,4,,5350,"3,630.40",-75,5800,
968,Benchmark Electronics,2255,9.80%,36,154.50%,1904,881.4,-18,10900,
969,Kar Auction Services,2252,2.90%,67,13200.00%,7417,"2,187.30",-56,8928,
970,TTM Technologies,2249,-,54,-69.40%,3026,"1,506.20",-65,16100,
971,Kirby,2247,3.50%,-247,,5399,"4,345.90",-51,5125,
972,Woodward,2246,-10.00%,209,-13.20%,4091,"7,882.40",-130,7200,
973,Clear Channel Outdoor Holdings,2241,20.80%,-434,,5299,"1,630.90",27,4600,
974,Spire,2236,20.50%,272,206.70%,9356,"3,713.60",25,3710,
975,Vista Outdoor,2226,26.70%,266,,1765,"2,007.90",,5900,
976,Surgery Partners,2225,19.60%,-71,,6118,"4,919.10",20,9600,
977,LHC Group,2220,7.60%,116,3.70%,2896,"5,229.60",-30,23000,
978,Amedisys,2214,6.90%,209,13.90%,1857,"5,603.90",-39,21000,
979,Century Aluminum,2213,37.80%,-167,,1570,"2,400.30",,2512,
980,Arch Resources,2208,50.50%,338,,2117,"2,126.20",,3303,
981,Aerojet Rocketdyne Holdings,2188,5.60%,144,4.40%,2434,"3,169.40",-36,5000,
982,Sleep Number,2185,17.70%,154,10.50%,920,"1,123.70",16,5388,
983,HNI,2184,11.70%,60,42.70%,1498,"1,568.70",-12,8000,
984,Pure Storage,2181,29.50%,-143,,3135,"10,238.00",,4200,
985,TrueBlue,2174,17.70%,62,,1033,995.6,,6400,
986,Party City Holdco,2171,17.30%,-7,,2712,402.6,,11450,
987,Dun & Bradstreet Holdings,2166,24.60%,-72,,9997,"7,554.00",,6296,
988,Dropbox,2158,12.70%,336,,3091,"8,873.50",-8,2667,
989,New Jersey Resources,2157,10.40%,118,-39.20%,5722,"4,405.40",-17,1251,
990,Acushnet Holdings,2148,33.20%,179,86.30%,2006,"2,914.00",,6500,
991,Harsco,2147,14.60%,-3,,3054,969.7,,12000,
992,Beazer Homes USA,2140,0.60%,122,133.60%,2079,478.8,-61,1052,
993,Chemed,2139,2.90%,269,-15.90%,1343,"7,592.50",-49,14137,
994,Genesis Energy,2126,16.50%,-165,,5906,"1,435.40",,1898,
995,BWX Technologies,2124,-,306,9.80%,2501,"4,925.60",-63,6600,
996,Vizio Holding,2124,4.00%,-39,-138.40%,936,"1,705.10",,800,
997,1-800-Flowers.com,2122,42.50%,119,101.10%,1077,830,,4800,
998,Cowen,2113,30.20%,296,36.60%,8749,744.1,,1534,
999,Ashland Global Holdings,2111,-11.20%,220,,6612,"5,601.90",-130,4100,
"1,000",DocuSign,2107,45.00%,-70,,2541,"21,302.80",,7461,
